objectid,GlobalID,AdminState,Plot ID,Plot Key,ProjectName,Office,Crew Number,Date,DateFormat,Observer,Recorder,Person checking values,Person recording values,Comments,Plot Layout,PlotLayoutNotes,Plot Shape,Plot Area,Plot Radius,Plot Length,Plot Width,Are Plant Species Present?,Search Time,All Unknown Codes used,All Species in the form,CreationDate,Creator,EditDate,Editor,AllSpeciesCheck,x,y
381,4b1a97b8-9fec-4a0e-99a9-bf2b9efa7d25,ID,NAT-049,ID_BUFO_LUP_2021_NAT-049_V2,ID_BUFO_LUP_2021,IDT02,94,7/5/2024 18:00,2024-07-05,Rory Swoboda,Other,Other,Other,,Spoke,,circle,2827.43,30,,,Yes,21,"AF94013, AF94012, AF94015, AF94014, SH94004",,07/08/2024 22:47:28.414,richelle.yunger,07/08/2024 22:47:28.414,richelle.yunger,,-113.4097569,42.16028523
382,340f1753-cb97-46b8-85e7-e4ce58b45ea2,ID,SEED-110,ID_BUFO_LUP_2021_SEED-110_V2,ID_BUFO_LUP_2021,IDT02,94,7/5/2024 18:00,2024-07-05,Benjamin Lancon,Other,Other,Other,,Spoke,,circle,2827.43,30,,,Yes,17,"SH94005, AF94016",,07/08/2024 22:47:30.262,richelle.yunger,07/08/2024 22:47:30.262,richelle.yunger,,-113.433403,42.10746077
383,01749f25-b2c9-4590-88e5-013fa471b884,ID,SD-018,ID_SHFO_LUP_2023_SD-018_V2,ID_SHFO_LUP_2023,IDT03,94,7/7/2024 18:00,2024-07-07,Benjamin Lancon,Other,Other,Other,,Spoke,,circle,2827.43,30,,,Yes,15,"PG94007, AF94020, PF94022, PF94023, AF94021",,07/08/2024 22:47:31.817,richelle.yunger,07/08/2024 22:47:31.817,richelle.yunger,,-114.0975587,43.24319826
384,b2227818-e7d8-4d5f-83f7-06b7301ec505,ID,SAFO2023-028,ID_SAFO_LUP_2023_SAFO2023-028_V2,ID_SAFO_LUP_2023,IDI04,12,7/3/2024 18:00,2024-07-03,Sean Bishop,Sean Bishop,,,,Spoke,,circle,2827.43,30,,,Yes,18,,,07/09/2024 15:30:19.248,sean.bishop,07/09/2024 15:30:19.248,sean.bishop,,-113.9390043,45.19407624
385,770eea49-840f-45ea-adf6-bd7b26fe1937,ID,SAFO2023-036,ID_SAFO_LUP_2023_SAFO2023-036_V2,ID_SAFO_LUP_2023,IDI04,12,7/3/2024 18:00,2024-07-03,Sean Bishop,Sean Bishop,,,,Spoke,,circle,2827.43,30,,,Yes,16,PG12001,,07/09/2024 15:30:21.275,sean.bishop,07/09/2024 15:30:21.275,sean.bishop,,-113.6815989,44.825989
386,9f94029f-eefb-4927-aabc-f11904fdcdf0,ID,SAFO2023-063,ID_SAFO_LUP_2023_SAFO2023-063_V2,ID_SAFO_LUP_2023,IDI04,12,7/4/2024 18:00,2024-07-04,Sean Bishop,Sean Bishop,Sean Bishop,Sean Bishop,,Spoke,,circle,2827.43,30,,,Yes,16,,,07/09/2024 15:30:35.637,sean.bishop,07/09/2024 15:30:35.637,sean.bishop,,-113.6210085,45.01147216
387,e8745fcf-c857-4464-8f48-0de54f774acd,ID,SAFO2023-049,ID_SAFO_LUP_2023_SAFO2023-049_V2,ID_SAFO_LUP_2023,IDI04,12,7/5/2024 18:00,2024-07-05,Sean Bishop,Sean Bishop,Sean Bishop,Sean Bishop,,Spoke,,circle,2827.43,30,,,Yes,25,,,07/09/2024 15:30:38.811,sean.bishop,07/09/2024 15:30:38.811,sean.bishop,,-113.5544215,44.93129326
388,2217571e-6df9-425b-897f-6047b3939d7f,ID,06317-04-U801,ID_SAFO_GRSG_2024_06317-04-U801_V1,ID_SalmonFO_Fuels_2024,IDI04,31,7/10/2024 18:00,2024-07-10,Hannah Alverson,Hannah Alverson,,,,Spoke,,circle,2827.43,30,,,Yes,16,,,07/10/2024 23:12:54.320,halverson@blm.gov_BLM_EGIS,07/10/2024 23:12:54.320,halverson@blm.gov_BLM_EGIS,,-113.2932504,44.4752612
389,cb20d207-9c8e-46e7-8f1b-7fa6ea581ab8,ID,06317-04-U800,ID_SAFO_GRSG_2024_06317-04-U800_V1,ID_SalmonFO_Fuels_2024,IDI04,31,7/10/2024 18:00,2024-07-10,Hannah Alverson,Hannah Alverson,,,,Spoke,,circle,2827.43,30,,,Yes,16,,,07/10/2024 23:13:02.265,halverson@blm.gov_BLM_EGIS,07/10/2024 23:13:02.265,halverson@blm.gov_BLM_EGIS,,-113.2820582,44.47789196
390,f44303ca-f9bc-45f5-9d10-b6081895bbf6,ID,06205-04-U001,ID_SAFO_GRSG_2024_06205-04-U001_V2,ID_SalmonFO_ModHAF_2024,IDI04,30,6/25/2024 18:00,2024-06-25,Vicki Van Sickle,Natasha Mills,,,,Spoke,,circle,2827.43,30,,,Yes,15,,,07/11/2024 13:48:22.119,vvansickle@blm.gov_BLM_EGIS,07/11/2024 13:48:22.119,vvansickle@blm.gov_BLM_EGIS,,-113.7809324,44.89779235
391,144f7650-68f3-4582-9253-7f806f7da764,ID,06205-02-U001,ID_SAFO_GRSG_2024_06205-02-U001_V2,ID_SalmonFO_ModHAF_2024,IDI04,30,6/25/2024 18:00,2024-06-25,Reina Watkins,Natasha Mills,,,,Spoke,,circle,2827.43,30,,,Yes,15,,,07/11/2024 13:48:25.703,vvansickle@blm.gov_BLM_EGIS,07/11/2024 13:48:25.703,vvansickle@blm.gov_BLM_EGIS,,-113.7533706,44.87790952
392,f2922b11-5967-470d-ae2c-9a401a5f9d72,ID,06238-03-U001,ID_SAFO_GRSG_2024_06238-03-U001_V2,ID_SalmonFO_Fuels_2024,IDI04,30,6/26/2024 18:00,2024-06-26,Reina Watkins,Natasha Mills,,,,Spoke,,circle,2827.43,30,,,Yes,30,,,07/11/2024 13:48:29.578,vvansickle@blm.gov_BLM_EGIS,07/11/2024 13:48:29.578,vvansickle@blm.gov_BLM_EGIS,,-113.4651656,44.80774783
393,599dee67-56db-43ca-9375-be6064dca9f7,ID,06205-07-U001,ID_SAFO_GRSG_2024_06205-07-U001_V2,ID_SalmonFO_ModHAF_2024,IDI04,30,7/3/2024 18:00,2024-07-03,Vicki Van Sickle,Vicki Van Sickle,,,,Spoke,,circle,2827.43,30,,,Yes,25,,,07/11/2024 13:48:32.896,vvansickle@blm.gov_BLM_EGIS,07/11/2024 13:48:32.896,vvansickle@blm.gov_BLM_EGIS,,-113.7689114,44.87184295
394,e3dadcc3-4cdc-4fac-b446-cdee75483b21,ID,06205-05-U001,ID_SAFO_GRSG_2024_06205-05-U001_V2,ID_SalmonFO_ModHAF_2024,IDI04,31,7/11/2024 18:00,2024-07-11,Hannah Alverson,Hannah Alverson,,,,Spoke,,circle,2827.43,30,,,Yes,16,PF31009,,07/11/2024 20:33:13.943,halverson@blm.gov_BLM_EGIS,07/11/2024 20:33:13.943,halverson@blm.gov_BLM_EGIS,,-113.8218409,44.85732634
395,9555c586-d3fb-407a-b49b-a66777f8074d,ID,RC-SG-04,ID_ChallisFO_ModHAF_2024_RC-SG-04_V1,ID_CHFO_GRSG_2024,IDI03,22,6/28/2024 18:00,2024-06-28,Hannah Branz,Hannah Branz,,,,Spoke,,circle,2827.43,30,,,Yes,18,PF22001,,07/16/2024 21:33:53.899,cedmondson@blm.gov_BLM_EGIS,07/16/2024 21:33:53.899,cedmondson@blm.gov_BLM_EGIS,,-113.6823145,44.19422338
396,d27bdf5b-1737-4c4a-bc97-bd0b450e74a9,ID,RC-SG-02,ID_ChallisFO_ModHAF_2024_RC-SG-02_V1,ID_CHFO_GRSG_2024,IDI03,22,7/11/2024 18:00,2024-07-11,Clay Edmondson,Clay Edmondson,,,,Spoke,,circle,2827.43,30,,,Yes,15,"PF22002, PF22001",,07/16/2024 21:33:56.143,cedmondson@blm.gov_BLM_EGIS,07/16/2024 21:33:56.143,cedmondson@blm.gov_BLM_EGIS,,-113.6836478,44.18412901
397,9ee18d71-47ff-4e0a-a206-147c4d7e50df,ID,RC-SG-01,ID_ChallisFO_ModHAF_2024_RC-SG-01_V1,ID_CHFO_GRSG_2024,IDI03,22,7/11/2024 18:00,2024-07-11,Hannah Branz,Hannah Branz,,,,Spoke,,circle,2827.43,30,,,Yes,15,"PS22001, PF22002",,07/16/2024 21:33:59.286,cedmondson@blm.gov_BLM_EGIS,07/16/2024 21:33:59.286,cedmondson@blm.gov_BLM_EGIS,,-113.6978714,44.17727297
398,baca9427-7745-47ef-ac50-a1b95187e84d,ID,RC-RC-03,ID_ChallisFO_ModHAF_2024_RC-RC-03_V1,ID_CHFO_GRSG_2024,IDI03,22,7/15/2024 18:00,2024-07-15,Hannah Branz,Hannah Branz,,,,Spoke,,circle,2827.43,30,,,Yes,15,,,07/16/2024 21:34:01.544,cedmondson@blm.gov_BLM_EGIS,07/16/2024 21:34:01.544,cedmondson@blm.gov_BLM_EGIS,,-113.7114132,44.1817989
399,6cb6f4d1-e611-4e1c-bbd0-2ca3311957ab,ID,RC-RC-01,ID_ChallisFO_ModHAF_2024_RC-RC-01_V1,ID_CHFO_GRSG_2024,IDI03,22,6/25/2024 18:00,2024-06-25,Hannah Branz,Hannah Branz,Hannah Branz,Hannah Branz,,Spoke,,circle,2827.43,30,,,Yes,15,,,07/16/2024 21:34:04.252,cedmondson@blm.gov_BLM_EGIS,08/12/2024 17:25:41.667,wthiel@blm.gov_BLM_EGIS,,-115.709173,41.974756
400,3ec51c84-e457-4efc-98ff-3ccffa916511,ID,RC-RC-02,ID_ChallisFO_ModHAF_2024_RC-RC-02_V1,ID_CHFO_GRSG_2024,IDI03,22,6/26/2024 18:00,2024-06-26,Hannah Branz,Hannah Branz,Hannah Branz,Hannah Branz,,Spoke,,circle,2827.43,30,,,Yes,15,,,07/16/2024 21:34:06.780,cedmondson@blm.gov_BLM_EGIS,07/16/2024 21:34:06.780,cedmondson@blm.gov_BLM_EGIS,,-114.2321212,44.50463747
401,cfba7e53-a7a9-4b82-a5f7-8d390c128635,ID,LSCM-NR-001,ID_SHFO_LUP_2023_LSCM-NR-001_V1,ID_SHFO_LUP_2023,IDT03,92,7/17/2024 18:00,2024-07-17,Kian McDonough,Other,,,,Spoke,,circle,2827.43,30,,,Yes,17,"PF92062, PF92063, PF92060, PF92061",,07/21/2024 16:37:30.467,sean.bishop,07/21/2024 16:37:30.467,sean.bishop,,-113.3332962,43.49235032
402,26944126-5a78-4412-91f3-28916c6f5ecf,ID,SD-016,ID_SHFO_LUP_2023_SD-016_V1,ID_SHFO_LUP_2023,IDT03,92,7/19/2024 18:00,2024-07-19,Kian McDonough,Other,,,,Spoke,,circle,2827.43,30,,,Yes,15,"AF92016, AF92017",,07/21/2024 16:37:32.560,sean.bishop,07/21/2024 16:37:32.560,sean.bishop,,-114.2048165,42.82200013
403,b8b83707-6c7d-4121-89dd-2eb482d401a1,ID,BSWD-013,ID_SHFO_LUP_2023_BSWD-013_V2,ID_SHFO_LUP_2023,IDT03,92,7/19/2024 18:00,2024-07-19,Kian McDonough,Other,,,,Spoke,,circle,2827.43,30,,,Yes,19,"AF92018, PG92019, PF92071",,07/21/2024 16:37:34.244,sean.bishop,07/21/2024 16:37:34.244,sean.bishop,,-114.0865937,42.72831133
404,b837a7f6-84c5-4016-ad24-251559077e96,ID,NAT-NR-031,ID_BUFO_LUP_2021_NAT-NR-031_V1,ID_BUFO_LUP_2021,IDT02,92,7/20/2024 18:00,2024-07-20,Kian McDonough,Other,,,,Spoke,,circle,2827.43,30,,,Yes,17,"AF92020, PF92072, AF92019",,07/21/2024 16:37:36.193,sean.bishop,07/21/2024 16:37:36.193,sean.bishop,,-113.5705018,42.90262258
405,33fc84df-aa69-4540-94d1-ff2001299a9d,ID,OT-009,ID_SHFO_LUP_2023_OT-009_V1,ID_SHFO_LUP_2023,IDT03,92,7/18/2024 18:00,2024-07-18,Kian McDonough,Other,,,,Spoke,,circle,2827.43,30,,,Yes,19,"PF92066, PF92065, PF92069, PF92064, PF92070, SH92002, PF92068, PF92067",,07/21/2024 17:00:18.794,kory.kolis,07/21/2024 17:00:18.794,kory.kolis,,-113.9114721,43.3234163
406,a07562f4-e81a-4cd6-a50f-ad4f8446ce97,ID,NAT-NR-026,ID_BUFO_LUP_2021_NAT-NR-026_V1,ID_BUFO_LUP_2021,IDT02,05,7/18/2024 18:00,2024-07-18,Maggie Welsh,Maggie Welsh,,,,Spoke,,circle,2827.43,30,,,Yes,25,SH05302,,07/22/2024 17:57:09.115,mmwsd12,07/22/2024 17:57:09.115,mmwsd12,,-113.5189165,42.1484147
407,a34003a0-82b2-4c14-9a2e-927216097881,ID,LSWD-008,ID_SHFO_LUP_2023_LSWD-008_V1,ID_SHFO_LUP_2023,IDT03,05,7/20/2024 18:00,2024-07-20,Maggie Welsh,Maggie Welsh,,,,Spoke,,circle,2827.43,30,,,Yes,30,PF05302,,07/22/2024 17:57:11.232,mmwsd12,07/22/2024 17:57:11.232,mmwsd12,,-113.2913971,42.93047167
408,9f9f8498-b4d3-4fdf-a2fa-5c668e14ec55,ID,NAT-042,ID_BUFO_LUP_2021_NAT-042_V1,ID_BUFO_LUP_2021,IDT02,05,7/17/2024 18:00,2024-07-17,Clare List,Clare List,,,,Spoke,,circle,2827.43,30,,,Yes,30,SH05301,,07/22/2024 18:01:47.255,mmwsd12,07/22/2024 18:01:47.255,mmwsd12,,-113.5698339,42.26694679
409,86c4fcb4-3b96-4006-a199-3e005638ee7f,ID,NAT-053,ID_BUFO_LUP_2021_NAT-053_V1,ID_BUFO_LUP_2021,IDT02,05,7/18/2024 18:00,2024-07-18,Clare List,Clare List,,,,Spoke,,circle,2827.43,30,,,Yes,30,AF05301,,07/22/2024 18:01:49.507,mmwsd12,07/22/2024 18:01:49.507,mmwsd12,,-113.021326,42.20108561
410,b21acd4e-c85d-4e5c-9d40-d7597a3bfcad,ID,NAT-041,ID_BUFO_LUP_2021_NAT-041_V1,ID_BUFO_LUP_2021,IDT02,05,7/19/2024 18:00,2024-07-19,Clare List,Clare List,,,,Spoke,,circle,2827.43,30,,,Yes,20,,,07/22/2024 18:01:51.557,mmwsd12,07/22/2024 18:01:51.557,mmwsd12,,-113.0728301,42.57697088
411,46b8f5bd-0aac-4bda-a18f-98414edf59a7,ID,OT-010,ID_SHFO_LUP_2023_OT-010_V1,ID_SHFO_LUP_2023,IDT03,05,7/21/2024 18:00,2024-07-21,Clare List,Clare List,,,,Spoke,,circle,2827.43,30,,,Yes,20,,,07/22/2024 18:01:53.710,mmwsd12,07/22/2024 18:01:53.710,mmwsd12,,-113.2056373,42.97258015
412,d939a83d-852a-4d42-83e9-8e82f1d681e0,ID,FRFO2024-FTHL-012,ID_FRFO_LUP_2024_FRFO2024-FTHL-012_V1,ID_FRFO_LUP_2024,IDB01,03,7/17/2024 18:00,2024-07-17,Spencer Shaw,Spencer Shaw,,,,Spoke,,circle,2827.43,30,,,Yes,45,"PF03086, PF03087, PF03088, PF03089",,07/22/2024 18:19:02.182,spencercshaw12,07/22/2024 18:19:02.182,spencercshaw12,,-115.2459708,43.14354818
413,fea0d68f-28aa-484f-87c0-1efa4db6391f,ID,FRFO2024-NR-FTHL-003,ID_FRFO_LUP_2024_FRFO2024-NR-FTHL-003_V1,ID_FRFO_LUP_2024,IDB01,03,7/17/2024 18:00,2024-07-17,Spencer Shaw,Spencer Shaw,,,,Spoke,,circle,2827.43,30,,,Yes,40,"PF03090, PF03091, AF03017",,07/22/2024 18:19:04.157,spencercshaw12,07/22/2024 18:19:04.157,spencercshaw12,,-115.2532293,43.15870167
414,f634c698-5b01-4291-ac5a-81c67cb7c479,ID,FRFO2024-FTHL-004,ID_FRFO_LUP_2024_FRFO2024-FTHL-004_V1,ID_FRFO_LUP_2024,IDB01,03,7/18/2024 18:00,2024-07-18,Spencer Shaw,Spencer Shaw,,,,Spoke,,circle,2827.43,30,,,Yes,35,"PF03092, PF03093, AF03018",,07/22/2024 18:19:06.083,spencercshaw12,07/22/2024 18:19:06.083,spencercshaw12,,-115.4769529,43.22713082
415,085d56cb-4472-4d4e-9f36-a8711eaaab59,ID,FRFO2024-FTHL-013,ID_FRFO_LUP_2024_FRFO2024-FTHL-013_V1,ID_FRFO_LUP_2024,IDB01,03,7/20/2024 18:00,2024-07-20,Spencer Shaw,Spencer Shaw,,,,Spoke,,circle,2827.43,30,,,Yes,25,,,07/22/2024 18:19:08.217,spencercshaw12,07/22/2024 18:19:08.217,spencercshaw12,,-116.5088993,44.05122052
416,35e6f2a4-402b-43c3-b9d1-673f02525bea,ID,FRFO2024-FTHL-006,ID_FRFO_LUP_2024_FRFO2024-FTHL-006_V1,ID_FRFO_LUP_2024,IDB01,03,7/20/2024 18:00,2024-07-20,Spencer Shaw,Spencer Shaw,,,,Spoke,,circle,2827.43,30,,,Yes,15,,,07/22/2024 18:19:10.088,spencercshaw12,07/22/2024 18:19:10.088,spencercshaw12,,-116.454325,44.05934189
417,ab3d110e-44fe-469f-9c27-6b6bb9c93833,ID,FRFO2024-FTHL-010,ID_FRFO_LUP_2024_FRFO2024-FTHL-010_V1,ID_FRFO_LUP_2024,IDB01,03,7/21/2024 18:00,2024-07-21,Spencer Shaw,Spencer Shaw,,,,Spoke,,circle,2827.43,30,,,Yes,45,"PF03094, AF03020, PF03096, PF03097, PF03095",,07/22/2024 18:19:12.290,spencercshaw12,07/22/2024 18:19:12.290,spencercshaw12,,-116.379249,44.18969829
418,456f2bdc-feaa-4a3f-beb7-260a75883164,ID,FRFO2024-PLNS-070,ID_FRFO_LUP_2024_FRFO2024-PLNS-070_V1,ID_FRFO_LUP_2024,IDB01,03,7/21/2024 18:00,2024-07-21,Spencer Shaw,Spencer Shaw,,,,Spoke,,circle,2827.43,30,,,Yes,15,AF03021,,07/22/2024 18:19:14.249,spencercshaw12,07/22/2024 18:19:14.249,spencercshaw12,,-116.7562405,44.25394812
419,a003db64-f1a7-40af-86ce-61bd87263dd9,ID,FRFO2024-PLNS-078,ID_FRFO_LUP_2024_FRFO2024-PLNS-078_V1,ID_FRFO_LUP_2024,IDB01,03,7/19/2024 18:00,2024-07-19,Roger Morin,Roger Morin,,,,Spoke,,circle,2827.43,30,,,Yes,25,AF03019,,07/22/2024 18:19:39.544,brandon.brown3,07/22/2024 18:19:39.544,brandon.brown3,,-116.1371938,43.06228
420,e8cb2ead-fb48-44a6-8076-583275f13a41,ID,USFO2023-073,ID_USFO_LUP_2023_USFO2023-073_V2,ID_USFO_LUP_2023,IDI01,94,7/17/2024 18:00,2024-07-17,Benjamin Lancon,Other,Other,Other,,Spoke,,circle,2827.43,30,,,Yes,17,PF94024,,07/22/2024 23:41:23.217,richelle.yunger,07/22/2024 23:41:23.217,richelle.yunger,,-113.1463287,42.98093672
421,1b312ef8-7273-45f5-8a25-b5f940e14e1a,ID,USFO2023-NR-016,ID_USFO_LUP_2023_USFO2023-NR-016_V1,ID_USFO_LUP_2023,IDI01,94,7/18/2024 18:00,2024-07-18,Rory Swoboda,Other,Other,Other,,Spoke,,circle,2827.43,30,,,Yes,23,AF94022,,07/22/2024 23:41:25.212,richelle.yunger,07/22/2024 23:41:25.212,richelle.yunger,,-112.8981466,43.09868489
422,97e7bcfc-e51e-4ed9-8651-0af73407716b,ID,USFO2023-069,ID_USFO_LUP_2023_USFO2023-069_V2,ID_USFO_LUP_2023,IDI01,94,7/19/2024 18:00,2024-07-19,Rory Swoboda,Other,Other,Other,,Spoke,,circle,2827.43,30,,,Yes,20,"AF94026, PF94028, AF94027, AF94024, AF94025",,07/22/2024 23:41:27.255,richelle.yunger,07/22/2024 23:41:27.255,richelle.yunger,,-112.9830092,43.28189175
423,7a4df951-56ab-48bc-9439-d41e2a3806d5,ID,BSWD2023-020,ID_JFO_LUP_2023_BSWD2023-020_V2,ID_JFO_LUP_2023,IDT01,94,7/20/2024 18:00,2024-07-20,Rory Swoboda,Other,Other,Other,,Spoke,,circle,2827.43,30,,,Yes,17,"AF94035, PG94008, AF94036, AF94037",,07/22/2024 23:41:29.540,richelle.yunger,07/22/2024 23:41:29.540,richelle.yunger,,-115.1794149,42.39632049
424,2528b666-d6fb-4787-b63f-4367e4f83e26,ID,CHFO2023-061,ID_CHFO_LUP_2023_CHFO2023-061_V2,ID_CHFO_LUP_2023,IDI03,08,7/18/2024 18:00,2024-07-18,Wilson Colby,Wilson Colby,Zoe Transtrum,Wilson Colby,Both Castilleja covilleana (CACO36) and Spergula arvensis (SPAR) present on plot but USDA codes are not in survey123.,Spoke,,circle,2827.43,30,,,Yes,55,,,07/23/2024 16:08:26.727,wzcolby,07/23/2024 16:08:26.727,wzcolby,,-114.305193,44.21676489
425,3e026392-53ac-4851-876b-c4e8f9d23657,ID,CHFO2023-NR-015,ID_CHFO_LUP_2023_CHFO2023-NR-015_V1,ID_CHFO_LUP_2023,IDI03,08,7/20/2024 18:00,2024-07-20,Wilson Colby,Wilson Colby,Zoe Transtrum,Wilson Colby,Lupinus lepidus (LULE2) present on plot but code is not in survey123 database.,Spoke,,circle,2827.43,30,,,Yes,40,PG08101,,07/23/2024 16:08:32.205,wzcolby,07/23/2024 16:08:32.205,wzcolby,,-114.4519542,44.27087206
426,3298b1ec-6ed1-4028-b12e-cff0728133ab,ID,CHFO2023-060,ID_CHFO_LUP_2023_CHFO2023-060_V2,ID_CHFO_LUP_2023,IDI03,08,7/21/2024 18:00,2024-07-21,Wilson Colby,Wilson Colby,Zoe Transtrum,Wilson Colby,,Spoke,,circle,2827.43,30,,,Yes,30,,,07/23/2024 16:08:36.285,wzcolby,07/23/2024 16:08:36.285,wzcolby,,-114.1515688,44.41387485
427,5c144a90-39d3-455e-b0f4-95f1286d5e59,ID,CHFO2023-045,ID_CHFO_LUP_2023_CHFO2023-045_V2,ID_CHFO_LUP_2023,IDI03,08,7/17/2024 18:00,2024-07-17,Zoe Transtrum,Zoe Transtrum,,,"PF08104 IS CACO36 (Castilleja covilleana)- it was not an option to choose from
",Spoke,,circle,2827.43,30,,,Yes,30,PF08104,,07/23/2024 16:37:43.870,zoetranstrum,07/23/2024 16:37:43.870,zoetranstrum,,-114.4122422,44.16278542
428,37efd6fc-a8e3-4fcc-beff-52f756c98e38,ID,CHFO2023-NR-016,ID_CHFO_LUP_2023_CHFO2023-NR-016_V1,ID_CHFO_LUP_2023,IDI03,08,7/19/2024 18:00,2024-07-19,Zoe Transtrum,Zoe Transtrum,,,,Spoke,,circle,2827.43,30,,,Yes,25,PF08100,,07/23/2024 16:37:45.926,zoetranstrum,07/23/2024 16:37:45.926,zoetranstrum,,-114.2248908,44.12255039
429,06c2785b-e34f-4310-9b2d-c8144d5b8f19,ID,CHFO2023-068,ID_CHFO_LUP_2023_CHFO2023-068_V1,ID_CHFO_LUP_2023,IDI03,08,7/21/2024 18:00,2024-07-21,Zoe Transtrum,Zoe Transtrum,,,,Spoke,,circle,2827.43,30,,,Yes,30,PF08103,,07/23/2024 16:37:47.725,zoetranstrum,07/23/2024 16:37:47.725,zoetranstrum,,-114.2032528,44.38793097
430,028380fc-6f08-4c6c-bca4-9d22e673e631,ID,PFO2023-NR-017,ID_PFO_LUP_2023_PFO2023-NR-017_V1,ID_PFO_LUP_2023,IDI02,93,7/17/2024 18:00,2024-07-17,Mark Paglierani,Mark Paglierani,,,,Spoke,,circle,2827.43,30,,,Yes,15,"AG93018
AF93019",,07/23/2024 17:10:32.400,sean.bishop,08/23/2024 16:04:12.295,wthiel@blm.gov_BLM_EGIS,,-111.9396595,42.25857128
431,b317724c-2992-43ed-a06a-3337c4adf44b,ID,PFO2023-056,ID_PFO_LUP_2023_PFO2023-056_V1,ID_PFO_LUP_2023,IDI02,93,7/20/2024 18:00,2024-07-20,Mark Paglierani,Mark Paglierani,,,,Spoke,,circle,2827.43,30,,,Yes,15,"PG93001, PF93043, PF93044, PG93045, PF93046",,07/23/2024 17:10:35.174,sean.bishop,09/05/2024 21:58:55.345,wthiel@blm.gov_BLM_EGIS,,-112.4332928,42.89972548
432,61d98133-c8ee-4bb1-a9fc-9b767d273570,ID,USFO2023-045,ID_USFO_LUP_2023_USFO2023-045_V1,ID_USFO_LUP_2023,IDI01,93,7/22/2024 18:00,2024-07-22,Mark Paglierani,Mark Paglierani,,,,Spoke,,circle,2827.43,30,,,Yes,15,AF93020,,07/23/2024 17:10:37.891,sean.bishop,07/23/2024 17:10:37.891,sean.bishop,,-112.7411324,43.41198412
433,0ea79034-dd94-4289-b260-4ae3fb8519c0,ID,PFO2023-031,ID_PFO_LUP_2023_PFO2023-031_V1,ID_PFO_LUP_2023,IDI02,93,7/18/2024 18:00,2024-07-18,Mark Paglierani,Mark Paglierani,,,,Spoke,,circle,2827.43,30,,,Yes,17,"PF93038, PF93039",,07/23/2024 17:14:58.332,sean.bishop,07/23/2024 17:14:58.332,sean.bishop,,-111.7174893,42.1868507
434,8d6d0513-3b85-457f-9e66-22721b79a31d,ID,PFO2023-079,ID_PFO_LUP_2023_PFO2023-079_V2,ID_PFO_LUP_2023,IDI02,93,7/19/2024 18:00,2024-07-19,Mark Paglierani,Mark Paglierani,,,,Spoke,,circle,2827.43,30,,,Yes,15,"PF93040, PF93041, PF93042, AF93019",,07/23/2024 17:15:00.790,sean.bishop,07/23/2024 17:15:00.790,sean.bishop,,-111.7929834,42.21760145
435,008c9fde-177c-4035-88e8-ef7e40752098,ID,PFO2023-091,ID_PFO_LUP_2023_PFO2023-091_V2,ID_PFO_LUP_2023,IDI02,93,7/21/2024 18:00,2024-07-21,Mark Paglierani,Mark Paglierani,,,,Spoke,,circle,2827.43,30,,,Yes,15,,,07/23/2024 17:15:03.176,sean.bishop,07/23/2024 17:15:03.176,sean.bishop,,-111.9153332,43.05078213
436,9b31cd38-c2ab-46f6-938f-31f491936fbb,ID,Black-138,ID_BFO_LUP_2022_Black-138_V2,ID_BFO_LUP_2022,IDB02,04,7/17/2024 18:00,2024-07-17,Sophia Lieberman,Sophia Lieberman,Fiona Jordan,Sophia Lieberman,,Spoke,,circle,2827.43,30,,,Yes,30,"PF04101, SH04103, AF04102",,07/23/2024 17:25:12.825,sophielieb3,07/23/2024 17:25:12.825,sophielieb3,,-115.9945094,42.63754465
437,5fda5661-a0d1-42ab-a9b7-a3434fc5f108,ID,LowCM-184,ID_BFO_LUP_2022_LowCM-184_V1,ID_BFO_LUP_2022,IDB02,04,7/19/2024 18:00,2024-07-19,Sophia Lieberman,Sophia Lieberman,Fiona Jordan,Sophia Lieberman,,Spoke,,circle,2827.43,30,,,Yes,45,"PF04106, AF04104, AG04105, PF04107, PF04109, PF04110, PF04108",,07/23/2024 17:25:15.262,sophielieb3,07/23/2024 17:25:15.262,sophielieb3,,-116.1267741,41.99025552
438,d66db623-38d3-498f-b948-4ec00c3f61ba,ID,BigCM-043,ID_BFO_LUP_2022_BigCM-043_V2,ID_BFO_LUP_2022,IDB02,04,7/19/2024 18:00,2024-07-19,Sophia Lieberman,Sophia Lieberman,Fiona Jordan,Sophia Lieberman,,Spoke,,circle,2827.43,30,,,Yes,25,"PF04111, PF04112, AF04116, AF04113, AF04114, AF04115",,07/23/2024 17:25:17.256,sophielieb3,07/23/2024 17:25:17.256,sophielieb3,,-115.9980726,42.27983583
439,50638d09-2776-41c2-adcc-719d3364f203,ID,BigWD-092,ID_BFO_LUP_2022_BigWD-092_V1,ID_BFO_LUP_2022,IDB02,04,7/20/2024 18:00,2024-07-20,Sophia Lieberman,Sophia Lieberman,Fiona Jordan,Sophia Lieberman,,Spoke,,circle,2827.43,30,,,Yes,16,AF04125,,07/23/2024 17:25:19.246,sophielieb3,07/23/2024 17:25:19.246,sophielieb3,,-115.8302013,42.13614021
